words,kinetic,processes,properties
speed,0.3863421550094518,0.021367156533934985,0.0
outside,0.8017153532608693,0.0,0.0
safety,1.0577445652173916,0.0,0.0
fixed,1.0577445652173916,0.0,0.0
wooden,0.0,0.22100280504908837,0.0
position,0.10009057971014493,0.42575970079476394,0.0
specific,0.09083850931677019,0.0,0.19547511312217192
turn,1.0037364130434783,0.0,0.0
quickly,0.28011775362318836,0.0,0.0
feel,0.4619565217391304,0.0253856942496493,0.0
rapidly,0.9721467391304346,0.0,0.0
cream,0.9548233695652175,0.0,0.0
suspend,0.566983695652174,0.0,0.0
cool,0.03897758152173911,0.0,0.0
newspaper,0.8936820652173915,0.0,0.0
separation,0.892663043478261,0.0,0.0
closed,0.8875679347826089,0.0,0.0
push,0.5056385869565219,0.0,0.0
lake,0.8763586956521738,0.0,0.0
vibrate,0.8702445652173915,0.0,0.0
size,0.24660326086956524,0.0,0.1375565610859728
blow,0.8631114130434783,0.0,0.0
travel,0.1147418478260869,0.34964936886395515,0.0
stop,0.8488451086956522,0.0,0.0
row,0.0,0.4381055130003235,0.0
store,0.8111413043478262,0.0,0.0
cover,0.8029891304347827,0.0,0.0
fall,0.1408433618012422,0.0,0.0
time,0.16963315217391303,0.0,0.0
solid,0.00356657608695651,0.0,0.01990950226244328
block,0.04929517663043479,0.003865708274894803,0.0
relative,0.38366168478260876,0.0,0.0
arrow,0.7642663043478262,0.0,0.0
rest,0.7581521739130433,0.0,0.0
happen,0.47065033783783783,0.0,0.0
view,0.7530570652173915,0.0,0.0
dish,0.752038043478261,0.0,0.0
overnight,0.7469429347826088,0.0,0.0
force,0.7469429347826088,0.0,0.0
small,0.17253311820652178,0.0,0.0
prevent,0.10453464673913045,0.0,0.0
look,0.7235054347826085,0.0,0.0
distance,0.3298233695652174,0.0,0.0260935143288084
dot,0.6705163043478262,0.0,0.0
screen,0.6511548913043478,0.0,0.0
eye,0.6389266304347827,0.0,0.0
place,0.01304347826086956,0.18161570827489476,0.0
point,0.006488464951197862,0.012210550419326218,0.0
apart,0.5961277173913044,0.0,0.0
follow,0.583899456521739,0.0,0.0
statement,0.12992527173913043,0.0,0.0
slowly,0.44573209718670087,0.0,0.0
zig,0.2193444293478261,0.0,0.0
fitting,0.5767663043478257,0.0,0.0
come,0.2787024456521739,0.0,0.0
quite,0.5726902173913041,0.0,0.0
left,0.23804347826086944,0.04157082748948104,0.0
great,0.05876358695652172,0.0,0.0
weight,0.5523097826086956,0.0,0.0
zag,0.27258831521739135,0.0,0.0
right,0.2959239130434782,0.00908835904628328,0.0
flat,0.5186820652173912,0.0,0.0
diver,0.5186820652173912,0.0,0.0
fast,0.5166440217391305,0.0,0.0
stay,0.08743206521739115,0.0,0.0
initial,0.22622282608695643,0.0,0.0
piece,0.09094769021739135,0.1464235624123422,0.0
state,0.3702445652173913,0.0,0.0
rise,0.0,0.0,0.03930187459599223
correct,0.07359601449275359,0.08438522674146783,0.0
wall,0.0,0.294109396914446,0.0
number,0.45550271739130443,0.0,0.0
start,0.03658288043478258,0.05141654978962128,0.0
swimmer,0.4453125,0.0,0.0
completely,0.2134850543478261,0.0,0.0
remain,0.0,0.0027623635587535685,0.0
different,0.19769021739130438,0.0,0.0
difference,0.0986752717391304,0.0,0.0
skin,0.38519021739130443,0.0,0.0
leave,0.0,0.04048980472542884,0.0
shine,0.3536005434782607,0.0,0.0
path,0.349524456521739,0.0,0.0
escape,0.32236360785953166,0.0,0.0
bench,0.0,0.5268408134642357,0.0
closely,0.33220108695652173,0.0,0.0
bicycle,0.3036684782608695,0.0,0.0
cause,0.11008831521739128,0.0,0.0
handle,0.2669836956521739,0.0,0.0
day,0.12228260869565212,0.0,0.0
close,0.0636888586956521,0.0012622720897615,0.0
high,0.07249611801242228,0.0,0.0
strongly,0.1358695652173912,0.0,0.0
pa,0.20074728260869562,0.0,0.0
bright,0.020953634510869464,0.02598176718092565,0.0
tyre,0.1966711956521739,0.0,0.0
large,0.04157608695652169,0.0,0.0
average,0.09888150232919234,0.0,0.0
continually,0.1283967391304346,0.0,0.0
reason,0.1253396739130434,0.0,0.0
frequently,0.1141304347826085,0.0,0.0
si,0.10903532608695629,0.0,0.0
firmly,0.1059782608695651,0.0,0.0
extremely,0.06521739130434781,0.0,0.0
thumb,0.0458559782608695,0.0,0.0
low,0.0036878881987577423,0.0,0.0
contract,0.0,0.050958391771855995,0.0
straight,0.021399456521739,0.0,0.0
hit,0.0019248188405795498,0.0,0.0
near,0.0,0.0,0.0
climb,0.0,0.0,0.0
ray,0.0,0.0,0.0
far,0.0,0.0,0.0
hard,0.0,0.0,0.0
line,0.0,0.0,0.0
likely,0.0,0.0,0.0
represent,0.0,0.0,0.0
drop,0.0,0.0,0.541176470588235
calibrate,0.0,0.0,1.4868778280542985
evenly,0.0,0.0,0.3149321266968324
activity,0.0,0.0,0.6687782805429862
top,0.0,0.0,0.0
eventually,0.0,0.0,0.0
black,0.0,0.23562412342215988,0.0
fire,0.0,0.0,0.0
heavy,0.0,0.0,0.0
thin,0.0,0.0,0.0
thread,0.0,0.0,0.1945701357466062
want,0.0,0.0,1.0515837104072394
give,0.0,0.0,0.0
wish,0.0,0.0,0.0398190045248868
division,0.0,0.0,1.087782805429864
check,0.0,0.0,0.1411764705882351
aluminium,0.0,0.0,1.80814479638009
hold,0.0,0.0,0.0
engineer,0.0,0.22769985974754556,0.28092006033182504
beam,0.0,0.8457223001402527,0.0
watch,0.0,0.0,0.2705882352941175
main,0.0,0.1929172510518933,0.07714932126696825
hand,0.0,0.6816269284712484,0.0
fan,0.0,1.3784011220196355,0.0
feature,0.0,0.0,0.6705882352941175
possible,0.0,0.0,0.0
often,0.0,0.0,0.0
object,0.0,0.0,1.6226244343891398
gap,0.0,0.2726507713884993,0.0
pass,0.0,0.13821879382889196,0.0
lower,0.0,0.037808054498096565,0.0
big,0.0,0.0,0.0
clamp,0.0,0.5831697054698457,0.0
describe,0.0,0.0,0.0
less,0.0,0.0,0.0
key,0.0,0.10497896213183716,0.07285067873303161
towards,0.0,0.0,0.0
melting,0.0,0.0,2.5728506787330314
least,0.0,0.0,0.0
ball,0.0,0.5276297335203366,0.0
release,0.0,0.0,0.0
long,0.0,0.0,0.4760180995475112
night,0.0,0.009256661991584699,0.0
masse,0.0,0.0,0.0923076923076921
switch,0.0,0.9744740532959324,0.0
iron,0.0,0.4105189340813464,0.1381598793363498
infra,0.0,0.3845722300140252,0.0
wheel,0.0,0.0,0.11040723981900451
begin,0.0,0.0,0.46606334841628916
length,0.0,0.047019635343618485,0.48223981900452484
disc,0.0,0.0,0.2253393665158368
ten,0.0,0.0,0.0
pure,0.0,0.0,0.40452488687782806
loss,0.0,0.3845722300140252,0.0
separate,0.0,0.546984572230014,0.0
condense,0.0,0.2872720897615709,0.9665158371040721
power,0.0,0.0,0.4470588235294116
mixture,0.0,0.0,3.0
outer,0.0,0.9172510518934079,0.0
food,0.0,1.175596072931276,0.0
stem,0.0,0.0,1.9529411764705875
easy,0.0,0.0,0.0
steam,0.0,0.0,0.1257918552036198
break,0.0,0.0,0.2932126696832577
compare,0.0,0.0,1.1674208144796374
tube,0.0,0.09104137447405328,0.3313914027149321
rod,0.0,0.2756802244039271,0.0
proton,0.0,1.7747545582047688,0.0
experiment,0.0,0.1889200561009818,0.8834841628959276
join,0.0,0.0,0.11040723981900451
action,0.0,0.0,0.0
go,0.0,0.0,0.0
solution,0.0,0.0,0.6841628959276017
behind,0.0,0.0,0.0
onto,0.0,0.0,0.0
level,0.0,0.0,0.5918552036199093
circulation,0.0,1.9203366058906033,0.0
wool,0.0,1.271528751753156,0.0
one,0.0,0.0,0.0
value,0.0,0.0,0.6009049773755655
sheet,0.0,1.3169705469845725,0.0
constantly,0.0,0.0,0.0
electrical,0.0,0.0,1.632579185520362
condensation,0.0,0.6389200561009818,0.6477375565610859
ceiling,0.0,1.4162692847124825,0.0
even,0.0,0.0,0.0
absorber,0.0,1.8647966339410942,0.0
marking,0.0,0.0,0.8144796380090495
uninsulated,0.0,0.7304347826086957,0.0
submerge,0.0,0.0,1.194570135746606
graduation,0.0,0.0,0.7158371040723981
connect,0.0,0.0,0.44615384615384607
beginning,0.0,0.0,0.2497737556561083
ethanol,0.0,0.0,1.6144796380090498
man,0.0,0.0,0.0
ruler,0.0,0.0,0.6217194570135743
thickness,0.0,0.0,1.3420814479638006
drink,0.0,0.0,0.9674208144796377
girl,0.0,0.3416549789621316,0.0
know,0.0,0.0,0.1339366515837102
white,0.0,0.0,0.0
back,0.0,0.0,0.0
always,0.0,0.0,0.0
along,0.0,0.0,0.0
record,0.0,0.0,0.3701357466063348
outdoors,0.0,0.5284712482468443,0.0
partly,0.0,0.0,0.0
column,0.0,0.0,1.1701357466063347
vibration,0.0,1.3060308555399722,0.0
telephone,0.0,0.0,0.0027149321266968
wax,0.0,0.4624964936886396,0.11864253393665158
per,0.0,0.0,0.0
plastic,0.0,1.5096774193548388,0.0
name,0.0,0.0,0.0
diameter,0.0,0.06917251051893408,0.22153846153846127
body,0.0,0.0,0.8687782805429862
next,0.0,0.0,0.0
way,0.0,0.2440392706872369,0.0
weather,0.0,0.0,0.8633484162895926
amount,0.0,0.0,0.0
calculate,0.0,0.0,1.5203619909502262
pane,0.0,1.5778401122019639,0.0
draught,0.0,1.324544179523142,0.0
hole,0.0,0.0,0.037104072398190004
earth,0.0,0.4594670406732117,0.0
lead,0.0,0.0,0.6027149321266968
surrounding,0.0,1.0095371669004207,0.0
lattice,0.0,1.4532959326788222,0.0
thermal,0.0,1.1360271023052761,0.4017334777898157
fill,0.0,0.0,0.0
oven,0.0,2.3798036465638153,0.0
suggest,0.0,1.0838709677419356,0.0
sunshine,0.0,0.2280504908835903,0.0
circular,0.0,0.0,0.0
contact,0.0,0.0,0.1022624434389138
glazing,0.0,1.7495091164095373,0.0
strengthen,0.0,0.0,0.42443438914027143
bend,0.0,0.0,0.5520361990950224
electricity,0.0,0.0,1.8253393665158368
move,0.0,0.0,0.0
almost,0.0,0.0,0.0
touch,0.0,0.0,0.1628959276018098
worker,0.0,0.9223001402524544,0.0
something,0.0,0.0,0.0
sensitive,0.0,0.0,0.0
uniformly,0.0,0.0,0.2036199095022624
box,0.0,1.5568022440392708,0.0
highest,0.0,0.0,0.0
pin,0.0,0.14336753524765622,0.0
base,0.0,0.6117812061711081,0.0
side,0.0,0.0,0.0
raise,0.0,0.0,0.4343891402714931
enough,0.0,0.0,0.0
become,0.0,0.0,0.0
gain,0.0,0.0,0.9239819004524885
fusion,0.0,0.0,0.8832579185520361
rate,0.0,0.1350631136044881,0.0529411764705882
conduct,0.0,1.138569424964937,0.0
around,0.0,0.0,0.0
get,0.0,0.0,0.0
circle,0.0,0.0,0.0
total,0.0,0.0,0.3538461538461537
also,0.0,0.0,0.0
fit,0.0,0.1845021037868163,0.0687782805429864
steel,0.0,0.0,0.7013574660633484
mark,0.0,0.0,0.0
insulated,0.0,2.899018232819074,0.0
kettle,0.0,0.0,1.6171945701357466
bar,0.0,0.23120617110799435,0.0
expansion,0.0,0.0,0.7167420814479636
together,0.0,0.0,0.0
expression,0.0,0.0,0.40542986425339345
cooling,0.0,0.9088359046283307,0.33054298642533914
hotter,0.0,0.7859747545582046,0.0
pair,0.0,0.0,0.0
jug,0.0,0.0,1.024434389140271
inner,0.0,1.0493688639551193,0.0
well,0.0,0.0,0.0
oil,0.0,0.0,1.0751131221719454
otherwise,0.0,0.0,0.0
attach,0.0,0.4667601683029454,0.0052790346907993
steady,0.0,0.0345021037868162,0.0307692307692306
receive,0.0,0.0,0.6651583710407238
across,0.0,0.0,0.0
cupboard,0.0,2.651612903225807,0.0
wire,0.0,0.0,0.5800904977375563
away,0.0,0.0,0.0
insulate,0.0,3.0,0.0
reach,0.0,0.1161290322580644,0.0
cube,0.0,0.0,1.6678733031674207
three,0.0,0.0,0.0
obtain,0.0,1.3868162692847128,0.0
type,0.0,0.9988779803646565,0.0
gauze,0.0,0.5444600280504909,0.0
consequence,0.0,0.0,0.0
supply,0.0,0.0,1.5592760180995473
source,0.0,0.0,0.42624434389140237
four,0.0,0.0,0.0
front,0.0,0.0,0.0
pole,0.0,0.0,0.4678733031674208
bad,0.0,0.0,0.0
heater,0.0,1.762915316535281,0.1504134810422843
first,0.0,0.0,0.0
require,0.0,0.0,1.2932126696832578
absorb,0.0,0.0,1.5167420814479633
find,0.0,0.0,0.0
floor,0.0,1.5568022440392708,0.0
office,0.0,1.3514726507713888,0.0
result,0.0,0.23377279102384296,0.07574660633484143
cross,0.0,0.3105189340813464,0.0
cable,0.0,0.0,0.0054298642533936
upper,0.0,0.0,0.3457013574660633
sensitivity,0.0,0.0,0.35927601809954735
unit,0.0,0.9307152875175317,0.0
latent,0.0,0.0,1.54841628959276
identical,0.0,0.13253856942496484,0.0
uninsulate,0.0,0.4821879382889199,0.0
short,0.0,0.0,0.3085972850678733
upwards,0.0,1.1150070126227212,0.0
electric,0.0,0.9187237026647967,0.0
reduce,0.0,1.4532959326788222,0.0
freezer,0.0,0.0,2.0859728506787327
degree,0.0,0.0,1.0651583710407238
bubble,0.0,0.900420757363254,0.0
put,0.0,0.0,0.0
road,0.0,0.04270687237026645,0.0
conclusion,0.0,0.0,0.7864253393665155
mean,0.0,0.0,0.0886877828054298
wood,0.0,0.0,0.74841628959276
displace,0.0,1.5374474053295932,0.0
fluid,0.0,1.8479663394109396,0.0
would,0.0,0.0,0.0
must,0.0,0.0,0.0
paint,0.0,0.7481065918653576,0.0
plot,0.0,0.2086956521739129,0.0
transfer,0.0,0.8293399086096906,0.01745730550284629
material,0.0,1.8033660589060307,0.0
salt,0.0,0.0,0.5773755656108595
either,0.0,0.0,0.0
section,0.0,0.958485273492286,0.0
sag,0.0,0.0,0.0
every,0.0,0.0,0.0
involve,0.0,0.7371669004207572,0.0
wave,0.0,0.42075736325385693,0.0
emitter,0.0,1.545021037868163,0.0
without,0.0,0.0,0.0
loose,0.0,0.0,0.0
initially,0.0,0.0,0.0
end,0.0,0.1920991117344553,0.04635495223730513
equally,0.0,0.10603085553997169,0.0
agree,0.0,0.0,0.0036199095022622996
several,0.0,0.0,0.0
heating,0.0,1.245201362452414,0.5342598577892694
keep,0.0,0.0,0.0
minute,0.0,0.0,0.0
tell,0.0,0.0,0.4868778280542987
account,0.0,0.0,0.0
alcohol,0.0,0.0,0.8380090497737553
immediately,0.0,0.0,0.0
soon,0.0,0.0,0.0
bread,0.0,0.8583450210378681,0.0
two,0.0,0.0,0.0
vacuum,0.0,2.3528751753155683,0.0
refrigerator,0.0,2.61374474053296,0.0
apparatus,0.0,0.0,1.9900452488687783
standard,0.0,0.0,0.3257918552036196
bottom,0.0,0.0,0.0
copper,0.0,0.40840392706872364,0.17053393665158356
electron,0.0,1.559326788218794,0.0
show,0.0,0.0,0.0
cotton,0.0,1.0215988779803644,0.0
red,0.0,0.1253856942496491,0.0
maximum,0.0,0.0,0.2895927601809954
lose,0.0,0.11697054698457225,0.0
set,0.0,0.0,0.0
part,0.0,0.0,0.0
radioactive,0.0,0.0,0.9140271493212666
double,0.0,0.1733520336605889,0.0
list,0.0,0.0,1.648868778280543
boiling,0.0,0.2032258064516129,1.282533936651583
free,0.0,0.0,0.0
minimum,0.0,0.0,0.2063348416289592
tight,0.0,0.0,0.0
poor,0.0,0.0,0.0
assume,0.0,0.0,0.0
portion,0.0,0.0,0.17285067873303164
could,0.0,0.0,0.0
much,0.0,0.0,0.0
correctly,0.0,0.0,0.085972850678733
physical,0.0,0.0,1.0470588235294116
good,0.0,0.0,0.0
throughout,0.0,0.0,0.0
method,0.0,1.5980364656381485,0.0
half,0.0,0.0,0.0
stick,0.0,0.8381486676016829,0.0
equal,0.0,0.0288920056100981,0.0992458521870286
neither,0.0,0.0,0.0
washer,0.0,0.0,0.5828054298642534
grill,0.0,1.2866760168302946,0.0
test,0.0,0.0,0.5755656108597285
conductor,0.0,1.155944229024008,0.0
suitable,0.0,0.0,0.9520361990950224
take,0.0,0.0,0.0
though,0.0,0.0,0.0
tape,0.0,0.0,0.7140271493212668
electromagnetic,0.0,2.1525946704067325,0.0
see,0.0,0.0,0.0
stand,0.0,0.2339410939691442,0.0
information,0.0,0.0,1.2923076923076922
spacer,0.0,1.0552594670406732,0.0
glass,0.0,0.23856942496493683,0.7246060227804646
